"","date","X0.1","yday","month"
"1",1997-11-01,59,305,11
"2",1997-12-01,59,335,12
"3",1998-01-01,46.5,1,1
"4",1998-02-01,NA,32,2
"5",1998-03-01,25.5,60,3
"6",1998-04-01,74,91,4
"7",1998-06-01,71,152,6
"8",1998-07-01,60,182,7
"9",1998-08-01,71.5,213,8
"10",1998-09-01,74,244,9
"11",1998-10-01,80,274,10
"12",1998-11-01,90,305,11
"13",1998-12-01,91.5,335,12
"14",1999-01-01,57,1,1
"15",1999-03-04,69,63,3
"16",1999-04-07,50,97,4
"17",1999-05-06,67.6,126,5
"18",1999-06-07,50,158,6
"19",1999-07-15,NA,196,7
"20",1999-08-11,49,223,8
"21",1999-09-14,NA,257,9
"22",1999-10-05,NA,278,10
"23",1999-11-04,NA,308,11
"24",1999-12-07,NA,341,12
"25",2000-01-11,53,11,1
"26",2000-02-08,69,39,2
"27",2000-03-09,70,69,3
"28",2000-04-10,46,101,4
"29",2000-05-11,49,132,5
"30",2000-06-06,NA,158,6
"31",2000-07-07,25,189,7
"32",2000-08-09,84.8,222,8
"33",2000-09-12,NA,256,9
"34",2000-10-10,64,284,10
"35",2001-01-11,36,11,1
"36",2001-02-16,39.4,47,2
"37",2001-03-14,31.4,73,3
"38",2001-04-05,NA,95,4
"39",2001-05-05,NA,125,5
"40",2001-06-12,90,163,6
"41",2001-07-10,47,191,7
"42",2001-08-07,NA,219,8
"43",2001-09-12,87,255,9
"44",2001-10-09,72.4,282,10
"45",2001-11-06,72,310,11
"46",2001-12-11,NA,345,12
"47",2002-02-14,42.6,45,2
"48",2002-03-12,34,71,3
"49",2002-04-02,NA,92,4
"50",2002-05-07,92,127,5
"51",2002-06-12,79.1,163,6
"52",2002-07-09,86.1,190,7
"53",2002-12-05,58.6,339,12
"54",2003-01-14,46.7,14,1
"55",2003-02-11,32.2,42,2
"56",2003-03-11,42.7,70,3
"57",2003-04-08,82,98,4
"58",2003-05-13,62,133,5
"59",2003-06-11,56,162,6
"60",2003-09-10,73.4,253,9
"61",NA,NA,NA,NA
"62",2006-01-12,71.2,12,1
"63",2006-02-06,54.7,37,2
"64",2006-03-16,57.7,75,3
"65",2006-04-04,68.3,94,4
"66",2006-06-06,79.7,157,6
"67",2006-07-04,NA,185,7
"68",2006-08-28,71.1,240,8
"69",2006-09-12,73,255,9
"70",2006-10-10,70,283,10
"71",2006-11-02,64.7,306,11
"72",2006-12-05,78,339,12
"73",2007-02-06,44.3,37,2
"74",2007-03-06,64,65,3
"75",2007-04-10,NA,100,4
"76",2007-05-08,80,128,5
"77",2007-06-05,84,156,6
"78",2007-07-03,85,184,7
"79",2007-08-07,NA,219,8
"80",2007-09-04,NA,247,9
"81",2007-10-09,NA,282,10
"82",2007-12-11,NA,345,12
"83",2008-01-10,NA,10,1
"84",2008-02-12,NA,43,2
"85",2008-03-11,NA,71,3
"86",2008-04-08,NA,99,4
"87",2008-05-06,80,127,5
"88",2008-06-04,62.633,156,6
"89",2008-07-08,64.116,190,7
"90",2008-08-05,NA,218,8
"91",2008-09-10,NA,254,9
"92",2008-10-10,NA,284,10
"93",2008-11-08,NA,313,11
"94",2008-12-10,NA,345,12
"95",2009-01-13,NA,13,1
"96",2009-02-10,NA,41,2
"97",2009-03-03,NA,62,3
"98",2009-04-07,NA,97,4
"99",2009-05-08,88.9,128,5
"100",2009-06-02,81.519,153,6
"101",2009-07-14,80.539,195,7
"102",2009-08-11,71.9,223,8
"103",2009-09-15,70.8,258,9
"104",2009-10-06,89.3,279,10
"105",2009-11-10,84.5,314,11
"106",2009-12-08,95.92,342,12
"107",2010-01-12,85,12,1
"108",2010-02-11,40.9,42,2
"109",2010-03-09,91,68,3
"110",2010-04-07,88.3,97,4
"111",2010-05-11,NA,131,5
"112",2010-06-08,NA,159,6
"113",2010-08-04,NA,216,8
"114",2010-09-15,87,258,9
"115",2010-10-04,NA,277,10
"116",2010-11-09,80.3,313,11
"117",2010-12-08,NA,342,12
"118",2011-01-11,NA,11,1
"119",2011-02-08,NA,39,2
"120",2011-03-15,NA,74,3
"121",2011-04-12,82.9584,102,4
"122",2011-05-10,72.01025,130,5
"123",2011-06-09,80.6,160,6
"124",2011-07-07,NA,188,7
"125",2011-08-09,86,221,8
"126",2011-09-06,93,249,9
"127",2011-10-04,NA,277,10
"128",2011-11-18,81,322,11
"129",2012-01-10,NA,10,1
"130",2012-02-07,NA,38,2
"131",2012-03-16,23.1,76,3
"132",NA,NA,NA,NA
