"","date","x258depth","yday","month"
"1",1995-11-08,130,312,11
"2",1995-12-14,44,348,12
"3",1996-01-13,92,13,1
"4",1996-02-14,88,45,2
"5",1996-03-13,38,73,3
"6",1996-04-16,39,107,4
"7",1996-05-09,14,130,5
"8",1996-06-12,53,164,6
"9",1996-07-10,105,192,7
"10",1996-08-06,64,219,8
"11",1996-09-11,105,255,9
"12",1996-10-08,107,282,10
"13",1996-11-10,97,315,11
"14",1996-12-09,113,344,12
"15",1997-01-07,62,7,1
"16",1997-02-13,36,44,2
"17",1997-03-12,18,71,3
"18",1997-04-15,29,105,4
"19",1997-05-10,43,130,5
"20",1997-06-17,102,168,6
"21",1997-07-08,66,189,7
"22",1997-08-17,36,229,8
"23",1997-09-17,111,260,9
"24",1997-10-14,123,287,10
"25",1997-11-13,70,317,11
"26",1997-12-17,42,351,12
"27",1998-01-14,71,14,1
"28",1998-02-11,61,42,2
"29",1998-03-12,35,71,3
"30",1998-04-21,64,111,4
"31",1998-06-09,110,160,6
"32",1998-07-09,69,190,7
"33",1998-08-05,102,217,8
"34",1998-09-01,108,244,9
"35",1998-10-14,104,287,10
"36",1998-11-10,120,314,11
"37",1998-12-16,110,350,12
"38",1999-01-12,67,12,1
"39",1999-02-10,57,41,2
"40",1999-03-04,40,63,3
"41",1999-04-07,63,97,4
"42",1999-05-06,103,126,5
"43",1999-06-08,71,159,6
"44",1999-07-15,84,196,7
"45",1999-08-11,97,223,8
"46",1999-09-14,118,257,9
"47",1999-10-05,122,278,10
"48",1999-11-04,113,308,11
"49",1999-12-07,124,341,12
"50",2000-01-11,81,11,1
"51",2000-02-08,42,39,2
"52",2000-03-09,38,69,3
"53",2000-04-10,49,101,4
"54",2000-05-11,22,132,5
"55",2000-06-06,90,158,6
"56",2000-07-07,23,189,7
"57",2000-08-09,97,222,8
"58",2000-09-12,102,256,9
"59",2000-10-10,115,284,10
"60",2000-11-03,107,308,11
"61",2000-12-05,81,340,12
"62",2001-01-11,60,11,1
"63",2001-02-16,37,47,2
"64",2001-03-14,25,73,3
"65",2001-04-04,45,94,4
"66",2001-05-05,65,125,5
"67",2001-06-10,61,161,6
"68",2001-07-10,50,191,7
"69",2001-08-07,96,219,8
"70",2001-09-11,110,254,9
"71",2001-10-09,111,282,10
"72",2001-11-06,120,310,11
"73",2001-12-11,113,345,12
"74",2002-01-10,115,10,1
"75",2002-02-14,67,45,2
"76",2002-03-12,28,71,3
"77",2002-04-02,32,92,4
"78",2002-05-07,100,127,5
"79",2002-06-12,105,163,6
"80",2002-07-09,19,190,7
"81",2002-08-06,74,218,8
"82",2002-10-03,122,276,10
"83",2002-11-07,111,311,11
"84",2002-12-05,81,339,12
"85",2003-01-14,48,14,1
"86",2003-02-11,66,42,2
"87",2003-03-11,41.51,70,3
"88",2003-04-08,91.931,98,4
"89",2003-05-13,68.226,133,5
"90",2003-06-10,75.069,161,6
"91",2003-07-08,70.203,189,7
"92",2003-08-05,48.716,217,8
"93",2003-09-10,125.25,253,9
"94",2003-11-11,130.22,315,11
"95",2003-12-09,118.29,343,12
"96",2004-01-13,78.537,13,1
"97",2004-02-10,105.37,41,2
"98",2004-03-09,93.446,69,3
"99",2004-04-06,77.543,97,4
"100",2004-05-13,87.483,134,5
"101",2004-06-08,100.4,160,6
"102",2004-07-07,51.699,189,7
"103",2004-08-10,80.525,223,8
"104",2004-09-07,105.37,251,9
"105",2004-10-05,126.24,279,10
"106",2004-11-09,127.24,314,11
"107",2004-12-07,78.537,342,12
"108",2005-01-11,74.561,11,1
"109",2005-02-09,100.4,40,2
"110",2005-03-09,72.573,68,3
"111",2005-04-05,53.687,95,4
"112",2005-05-10,110.34,130,5
"113",2005-06-14,106.37,165,6
"114",2005-07-12,103.38,193,7
"115",2005-08-09,36.787,221,8
"116",2005-10-04,131.21,277,10
"117",2005-12-14,91.458,348,12
"118",2006-01-12,82.513,12,1
"119",2006-02-07,51.699,38,2
"120",2006-03-16,65.615,75,3
"121",2006-04-04,36.787,94,4
"122",2006-05-10,91.458,130,5
"123",2006-06-06,104.38,157,6
"124",2006-07-04,99.409,185,7
"125",2006-08-03,55.675,215,8
"126",2006-09-12,114.32,255,9
"127",2006-10-10,103.38,283,10
"128",2006-11-02,125.25,306,11
"129",2006-12-05,129.22,339,12
"130",2007-02-06,44.74,37,2
"131",2007-03-06,42.752,65,3
"132",2007-04-10,39.769,100,4
"133",2007-05-08,61.639,128,5
"134",2007-06-05,127.24,156,6
"135",2007-07-03,64.621,184,7
"136",2007-08-07,112.33,219,8
"137",2007-09-04,123.26,247,9
"138",2007-10-09,120.28,282,10
"139",2007-11-30,103.38,334,11
"140",2007-12-11,121.27,345,12
"141",2008-01-10,84.501,10,1
"142",2008-02-12,75.555,43,2
"143",2008-03-11,47.722,71,3
"144",2008-04-08,36.787,99,4
"145",2008-05-06,81.519,127,5
"146",2008-06-04,111.33,156,6
"147",2008-07-08,64.621,190,7
"148",2008-08-05,99.409,218,8
"149",2008-09-10,125.25,254,9
"150",2008-10-10,131.21,284,10
"151",2008-11-11,124.28,316,11
"152",2008-12-10,123.28,345,12
"153",2009-01-13,79.545,13,1
"154",2009-02-10,97.438,41,2
"155",2009-03-03,49.711,62,3
"156",2009-04-07,52.693,97,4
"157",2009-05-08,37.781,128,5
"158",2009-06-02,37.781,153,6
"159",2009-07-14,91.458,195,7
"160",2009-08-11,74.561,223,8
"161",2009-09-15,108.35,258,9
"162",2009-10-06,112.33,279,10
"163",2009-11-10,130.22,314,11
"164",2009-12-08,107.36,342,12
"165",2010-01-07,92.452,7,1
"166",2010-02-09,25.851,40,2
"167",2010-03-09,102.39,68,3
"168",2010-04-07,94.44,97,4
"169",2010-05-11,110.34,131,5
"170",2010-06-08,105.37,159,6
"171",2010-08-04,121.27,216,8
"172",2010-09-15,118.29,258,9
"173",2010-10-04,129.22,277,10
"174",2010-11-09,145.12,313,11
"175",2010-12-08,105.37,342,12
"176",2011-01-11,110.34,11,1
"177",2011-02-08,54.681,39,2
"178",2011-03-15,53.687,74,3
"179",2011-04-12,29.828,102,4
"180",2011-05-10,87.483,130,5
"181",2011-06-09,125.25,160,6
"182",2011-07-07,108.35,188,7
"183",2011-08-09,113.32,221,8
"184",2011-09-06,119.29,249,9
"185",2011-10-04,120.28,277,10
"186",2012-01-10,83.507,10,1
"187",2012-02-07,49.711,38,2
"188",2012-03-16,26.845,76,3
"189",2012-04-10,29.828,101,4
"190",2012-05-15,117.3,136,5
"191",2012-07-26,82.513,208,7
"192",2012-08-14,89.47,227,8
"193",2012-09-10,116.3,254,9
"194",2012-10-10,122.27,284,10
"195",2012-11-08,119.29,313,11
"196",2012-11-18,111.33,323,11
"197",2012-12-03,116.3,338,12
"198",2013-03-05,41.758,64,3
"199",2013-04-09,71.579,99,4
"200",2013-05-09,53.687,129,5
"201",2013-06-11,107.36,162,6
"202",2013-07-11,109.35,192,7
"203",2013-08-13,72.573,225,8
"204",2013-09-11,124.25,254,9
"205",2013-10-08,116.3,281,10
"206",2013-11-13,112.33,317,11
"207",2013-12-04,108.35,338,12
"208",2014-01-14,42.752,14,1
"209",2014-02-04,23.863,35,2
"210",2014-04-01,34.799,91,4
"211",2014-05-06,20.88,126,5
"212",2014-06-13,114.32,164,6
"213",2014-09-03,116.3,246,9
"214",2014-10-07,111.33,280,10
"215",2014-11-12,122.27,316,11
"216",2014-12-09,120.28,343,12
"217",2015-02-14,50.705,45,2
"218",2015-03-10,72.573,69,3
"219",2015-04-14,25.851,104,4
"220",2015-07-29,42.752,210,7
"221",2015-08-18,47.722,230,8
"222",2015-09-10,110.34,253,9
"223",2015-11-16,112.33,320,11
"224",2015-12-09,111.33,343,12
"225",2016-01-13,50.705,13,1
"226",2016-02-04,42.752,35,2
"227",2016-05-11,139.16,132,5
"228",2016-12-21,104.38,356,12
"229",2017-01-17,64.621,17,1
